Year,CensusCode,TotalEst,CensusCode2,Name,Unsheltered,Sheltered,Total
2017,232300a,15.1,232300a,Vermont Square,9.3,6,
2017,265301,0,265301,Westwood,15.1,0,
2017,407002c,0,407002c,Industry,0,0,
2017,533002a,0,533002a,Huntington Park,0,0,
2017,542502,0,542502,Compton,0,0,
2017,552601,0,552601,Norwalk,0,0,
2017,602402,0,602402,Hawthorne,13.1,2,
2017,117510,15,117510,North Hills,15,0,
2017,181300b,0,181300b,Eagle Rock,0,0,
2017,208502a,0,208502a,Westlake,0,0,
2017,541500,0,541500,Willowbrook,0,0,
2017,601100,0,601100,Inglewood,0,0,
2017,500700b,14.9,500700b,Pico Rivera,14.9,0,
2017,650401a,0,650401a,Torrance,6.4,9,
2017,700102,0,700102,West Hollywood,14.9,0,
2017,900705b,0,900705b,Lancaster,0,0,
2017,190902b,14.8,190902b,Hollywood,14.8,0,
2017,203500c,0,203500c,Boyle Heights,0,0,
2017,213320b,0,213320b,Pico-Union,0,0,
2017,275102b,0,275102b,Del Rey,0,0,
2017,221303b,14.7999999999999,221303b,Harvard Heights,14.7999999999999,0,
2017,702002a,0,702002a,Santa Monica,0,0,
2017,128102,14.7,128102,Van Nuys,14.7,0,
2017,201120,0,201120,El Sereno,0,0,
2017,208501b,0,208501b,Westlake,0,0,
2017,264302,0,264302,Brentwood,0,0,
2017,294510,0,294510,Wilmington,0,0,
2017,555002b,0,555002b,Lakewood,0,0,
2017,620002,0,620002,El Segundo,0,0,
2017,199900,14.6,199900,Lincoln Heights,14.6,0,
2017,201501,0,201501,El Sereno,0,0,
2017,293202,0,293202,Harbor Gateway North and South,0,0,
2017,530301,0,530301,East Los Angeles,0,0,
2017,601502,0,601502,Lennox,0,0,
2017,601801b,0,601801b,Inglewood,0,0,
2017,209102c,14.5,209102c,Westlake,7.3,7,
2017,701402a,0,701402a,Santa Monica,14.5,0,
2017,701402b,0,701402b,Santa Monica,0,0,
2017,228220a,14.4999999999999,228220a,Central-Alameda,14.4999999999999,0,
2017,143100,14.4,143100,Toluca Lake,14.4,0,
2017,201110,0,201110,El Sereno,0,0,
2017,226002d,0,226002d,Downtown,12,2,
2017,237710a,0,237710a,Vermont Knolls,14.4,0,
2017,910404a,0,910404a,Palmdale,0,0,
2017,123601a,14.3999999999999,123601a,Valley Glen,14.3999999999999,0,
2017,183610b,0,183610b,Highland Park,0,0,
2017,187101,0,187101,Atwater Village,0,0,
2017,239202a,0,239202a,Florence,0,0,
2017,123204a,14.3,123204a,North Hollywood,8.3,6,
2017,123204b,0,123204b,North Hollywood,0,0,
2017,192620a,0,192620a,East Hollywood,14.3,0,
2017,231600b,0,231600b,Vermont Square,6.9,7,
2017,500202b,0,500202b,Whittier,14.3,0,
2017,532001,14.2999999999999,532001,Montebello,14.2999999999999,0,
2017,555211,0,555211,Hawaiian Gardens,0,0,
2017,113321,14.2,113321,Chatsworth,14.2,0,
2017,113421c,0,113421c,Winnetka,0,0,
2017,219300,0,219300,Jefferson Park,0,0,
2017,402304,0,402304,Pomona,0,0,
2017,532700b,0,532700b,Florence-Firestone,0,0,
2017,550300a,0,550300a,Norwalk,0,0,
2017,554521a,0,554521a,Cerritos,0,0,
2017,224200b,14.1,224200b,Pico-Union,14.1,0,
2017,702600a,0,702600a,Culver City,0,0,
2017,703001a,0,703001a,Culver City,0,0,
2017,207710b,14.0999999999999,207710b,Downtown,9.29999999999999,5,
2017,123601b,14,123601b,Valley Glen,14,0,
2017,133100a,0,133100a,Tarzana,0,0,
2017,275400b,0,275400b,Del Rey,0,0,
2017,276603b,0,276603b,Westchester/Playa,0,0,
2017,481002,0,481002,Alhambra,0,14,
2017,540400a,0,540400a,Watts,14,0,
2017,930200f,0,930200f,Tujunga Canyons,1.7,12,
2017,191110a,13.9,191110a,East Hollywood,13.9,0,
2017,543000b,0,543000b,Compton,0,0,
2017,543703,0,543703,Carson,0,0,
2017,552200b,0,552200b,Norwalk,0,0,
2017,228320b,13.8999999999999,228320b,Historic South-Central,13.8999999999999,0,
2017,701801c,0,701801c,Santa Monica,3.19999999999999,11,
2017,104404,13.8,104404,Pacoima,13.8,0,
2017,127520a,0,127520a,Van Nuys,0,0,
2017,139401,0,139401,Tarzana,0,0,
2017,212305,0,212305,Koreatown,0,0,
2017,228310a,0,228310a,Historic South-Central,0,0,
2017,235202,0,235202,Hyde Park,0,0,
2017,296210,0,296210,San Pedro,0,0,
2017,408302c,0,408302c,Avocado Heights,0,0,
2017,218800b,13.7999999999999,218800b,Arlington Heights,13.7999999999999,0,
2017,701304b,0,701304b,Santa Monica,0,0,
2017,122410,13.7,122410,Sun Valley,13.7,0,
2017,408501,0,408501,Hacienda Heights,0,0,
2017,430101a,0,430101a,Duarte,0,0,
2017,533403,0,533403,Maywood,0,0,
2017,219700b,13.6,219700b,West Adams,13.6,0,
2017,228600,0,228600,South Park,0,0,
2017,123020b,13.5,123020b,Sun Valley,13.5,0,
2017,190902a,0,190902a,Hollywood,0,0,
2017,191203b,0,191203b,East Hollywood,0,0,
2017,214501a,0,214501a,Fairfax,0,0,
2017,269905a,0,269905a,Palms,0,0,
2017,601202,0,601202,Inglewood,0,0,
2017,208610b,13.4999999999999,208610b,Westlake,13.4999999999999,0,
2017,113213,13.4,113213,Chatsworth,13.4,0,
2017,234501,0,234501,Hyde Park,0,0,
2017,275102a,0,275102a,Del Rey,0,0,
2017,276604b,0,276604b,Westchester/Playa,0,0,
2017,278102a,0,278102a,Westchester/Playa,0,0,
2017,533103a,0,533103a,Huntington Park,0,0,
2017,930301b,0,930301b,Littlerock,0,0,
2017,104105b,13.3999999999999,104105b,Pacoima,6.1,7,
2017,123902b,0,123902b,Valley Glen,13.3999999999999,0,
2017,269907,0,269907,Palms,0,0,
2017,191302b,13.3,191302b,East Hollywood,13.3,0,
2017,127400b,13.2999999999999,127400b,Van Nuys,13.2999999999999,0,
2017,294820b,0,294820b,Wilmington,0,0,
2017,534502,0,534502,Huntington Park,0,0,
2017,552100a,0,552100a,Norwalk,0,0,
2017,554406,0,554406,Bellflower,0,0,
2017,109700,13.2,109700,Granada Hills,13.2,0,
2017,186202b,0,186202b,Glassell Park,0,0,
2017,195500a,0,195500a,Silver Lake,0,0,
2017,206020a,0,206020a,Chinatown,0,0,
2017,403000b,0,403000b,Pomona,0,0,
2017,404701,0,404701,Baldwin Park,0,0,
2017,601501a,0,601501a,Lennox,0,0,
2017,101300b,13.1,101300b,Tujunga,13.1,0,
2017,103200c,0,103200c,Sunland,0,0,
2017,113303b,0,113303b,Chatsworth,10.8,2,
2017,121010b,0,121010b,Sun Valley,13.1,0,
2017,621201,0,621201,Redondo Beach,0,0,
2017,910812a,0,910812a,Palmdale,0,0,
2017,135201a,13.0999999999999,135201a,West Hills,13.0999999999999,0,
2017,201401,13,201401,El Sereno,13,0,
2017,212800,0,212800,Mid-Wilshire,0,0,
2017,239801,0,239801,Florence,0,0,
2017,294200,0,294200,Wilmington,0,0,
2017,401202b,0,401202b,Glendora,0,0,
